index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",9034282226,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/0.png
1,1,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",11227446632,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/1.png
2,2,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",6798892319,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/2.png
3,3,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",18635013121,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/3.png
4,4,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",10572225188,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/4.png
5,5,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",4079564264,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/5.png
6,6,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",7640625226,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/6.png
7,7,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",8423132366,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/7.png
8,8,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",3467009749,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/8.png
9,9,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",9149892976,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/9.png
10,10,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",12515950234,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/10.png
11,11,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",832274748,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/11.png
12,12,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",13230114985,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/12.png
13,13,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",7823847759,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/13.png
14,14,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",16631615138,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/14.png
15,15,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",9495468455,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/15.png
16,16,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",14922900972,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/16.png
17,17,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",10348184057,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/17.png
18,18,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",5777208768,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/18.png
19,19,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",15153234130,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/19.png
20,20,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",9254070469,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/20.png
21,21,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",8781721355,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/21.png
22,22,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",11937723067,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/22.png
23,23,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",11367016975,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/23.png
24,24,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",10479819449,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/24.png
25,25,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",6448350443,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/25.png
26,26,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",10887371254,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/26.png
27,27,,,"## Image description:
The image shows 20 handwritten digits. The first 10 digits on the top represents a 10-digit number, and the second 10 digits on the bottom represents another 10-digit number.
## Rule:
$Y$ is the sum of these two numbers.
## Query:
What is $Y$?",3695171775,/home/jovyan/workspace/datasets/MNMath_Add_10digit/test/27.png
