index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/0.png
1,1,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/1.png
2,2,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/2.png
3,3,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/3.png
4,4,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/4.png
5,5,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/5.png
6,6,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/6.png
7,7,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/7.png
8,8,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/8.png
9,9,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/9.png
10,10,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/10.png
11,11,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/11.png
12,12,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/12.png
13,13,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/13.png
14,14,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/14.png
15,15,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/15.png
16,16,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/16.png
17,17,,,"## Image description:
The image shows 3 geometric objects.
## Rule:
If all objects with the same shape have the same color, then $Y$ is True. Otherwise, $Y$ is False.
## Query:
What is $Y$?",True,/data/common/weixinchen/llm_pc/datasets/KandLogic_3obj_unseen_colors/test/17.png
