index,sample_id,possible_answers,query_type,query,answer,image_name
0,0,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/0.png
1,1,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/1.png
2,2,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/2.png
3,3,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/3.png
4,4,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/4.png
5,5,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/5.png
6,6,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/6.png
7,7,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/7.png
8,8,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/8.png
9,9,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/9.png
10,10,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/10.png
11,11,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/11.png
12,12,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/12.png
13,13,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/13.png
14,14,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/14.png
15,15,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/15.png
16,16,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/16.png
17,17,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/17.png
18,18,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/18.png
19,19,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/19.png
20,20,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/20.png
21,21,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/21.png
22,22,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/22.png
23,23,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/23.png
24,24,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/24.png
25,25,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/25.png
26,26,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/26.png
27,27,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/27.png
28,28,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/28.png
29,29,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/29.png
30,30,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/30.png
31,31,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/31.png
32,32,,,"## Image description:
The image shows 7 handwritten binary digits.
## Rule:
$Y$ is the XOR of these binary digits.
## Query:
What is $Y$?",True,/home/jovyan/workspace/datasets/MNLogic_XOR_7digit/test/32.png
